time_s,left_x_m,left_y_m,left_z_m,right_x_m,right_y_m,right_z_m
2.300200000000512901e+01,-3.498079330959893429e-01,-7.498622736423931068e-01,4.000260815646795032e-01,-1.122800263076380312e-03,-5.000375624329627122e-01,2.802983100491168722e-01
2.300300000000513023e+01,-3.498081262634620825e-01,-7.498623692735694179e-01,4.000260812147219958e-01,-1.122783270148836055e-03,-5.000375697639269923e-01,2.802982624881389384e-01
2.300400000000513145e+01,-3.498083191904794997e-01,-7.498624648346534638e-01,4.000260808399701551e-01,-1.122766203133791774e-03,-5.000375770842980794e-01,2.802982151932942312e-01
2.300500000000513268e+01,-3.498085118773690549e-01,-7.498625603256969807e-01,4.000260804404809356e-01,-1.122749062433148204e-03,-5.000375843941180509e-01,2.802981681637798927e-01
2.300600000000513390e+01,-3.498087043244584859e-01,-7.498626557467498177e-01,4.000260800163110697e-01,-1.122732434177362015e-03,-5.000375916202427495e-01,2.802981202137950767e-01
2.300700000000513512e+01,-3.498088965320756416e-01,-7.498627510978636002e-01,4.000260795675170122e-01,-1.122715731061395272e-03,-5.000375988361007717e-01,2.802980725310174615e-01
2.300800000000513634e+01,-3.498090885005468165e-01,-7.498628463790889542e-01,4.000260790941557731e-01,-1.122698953540751665e-03,-5.000376060417217605e-01,2.802980251145389956e-01
2.300900000000513757e+01,-3.498092802301981941e-01,-7.498629415904766171e-01,4.000260785962831966e-01,-1.122682102044372798e-03,-5.000376132371350257e-01,2.802979779635060842e-01
2.301000000000513879e+01,-3.498094717213561800e-01,-7.498630367320775481e-01,4.000260780739558486e-01,-1.122665176975588819e-03,-5.000376204223695442e-01,2.802979310771159249e-01
2.301100000000514001e+01,-3.498096629743453478e-01,-7.498631318039420401e-01,4.000260775272297398e-01,-1.122648760400628276e-03,-5.000376275252863545e-01,2.802978832718067137e-01
2.301200000000514123e+01,-3.498098539894914927e-01,-7.498632268061216077e-01,4.000260769561617136e-01,-1.122632269095341639e-03,-5.000376346182807685e-01,2.802978357330124792e-01
2.301300000000514245e+01,-3.498100447671183555e-01,-7.498633217386660998e-01,4.000260763608070591e-01,-1.122615703516099961e-03,-5.000376417013727703e-01,2.802977884598261138e-01
2.301400000000514368e+01,-3.498102353075506765e-01,-7.498634166016265867e-01,4.000260757412220647e-01,-1.122599064092545673e-03,-5.000376487745811227e-01,2.802977414513946330e-01
2.301500000000514490e+01,-3.498104256111109756e-01,-7.498635113950535835e-01,4.000260750974623525e-01,-1.122582351228217090e-03,-5.000376558379260317e-01,2.802976947069162894e-01
2.301600000000514612e+01,-3.498106156781228826e-01,-7.498636061189974944e-01,4.000260744295838222e-01,-1.122566142981097637e-03,-5.000376628202322093e-01,2.802976470450773139e-01
2.301700000000514734e+01,-3.498108055089090840e-01,-7.498637007735091675e-01,4.000260737376419851e-01,-1.122549860150146017e-03,-5.000376697929109771e-01,2.802975996490592037e-01
2.301800000000514856e+01,-3.498109951037916554e-01,-7.498637953586385629e-01,4.000260730216926852e-01,-1.122533503191081028e-03,-5.000376767559732150e-01,2.802975525179559613e-01
2.301900000000514979e+01,-3.498111844630921174e-01,-7.498638898744365289e-01,4.000260722817908787e-01,-1.122517072532781823e-03,-5.000376837094309135e-01,2.802975056509157126e-01
2.302000000000515101e+01,-3.498113735871321572e-01,-7.498639843209535805e-01,4.000260715179923543e-01,-1.122500568578731206e-03,-5.000376906532977284e-01,2.802974590471374317e-01
2.302100000000515223e+01,-3.498115624762319631e-01,-7.498640786982400108e-01,4.000260707303520125e-01,-1.122484565433790049e-03,-5.000376975173285166e-01,2.802974115275650435e-01
2.302200000000515345e+01,-3.498117511307122784e-01,-7.498641730063463351e-01,4.000260699189253089e-01,-1.122468487862383901e-03,-5.000377043719879122e-01,2.802973642731182435e-01
2.302300000000515467e+01,-3.498119395508926255e-01,-7.498642672453229574e-01,4.000260690837670330e-01,-1.122452336319475219e-03,-5.000377112172819105e-01,2.802973172828929216e-01
2.302400000000515590e+01,-3.498121277370932480e-01,-7.498643614152197268e-01,4.000260682249321409e-01,-1.122436111232895384e-03,-5.000377180532173949e-01,2.802972705560377031e-01
